session_id,unit_id,phase,task,status,ordering
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence01,active,manual,todo,0
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence01,normal,llm,todo,0
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence01,normal,manual,todo,0
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence02,active,manual,todo,1
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence02,normal,llm,todo,1
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence02,normal,manual,todo,1
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence03,active,manual,todo,2
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence03,normal,llm,todo,2
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence03,normal,manual,todo,2
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence04,active,manual,todo,3
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence04,normal,llm,todo,3
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence04,normal,manual,todo,3
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence05,active,manual,todo,4
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence05,normal,llm,todo,4
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0001_sentence05,normal,manual,todo,4
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence01,normal,llm,todo,5
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence01,normal,manual,todo,5
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence02,normal,llm,todo,6
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence02,normal,manual,todo,6
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence03,normal,llm,todo,7
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence03,normal,manual,todo,7
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence04,normal,llm,todo,8
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence04,normal,manual,todo,8
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence05,normal,llm,todo,9
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0002_sentence05,normal,manual,todo,9
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0003_sentence01,normal,llm,todo,10
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0003_sentence01,normal,manual,todo,10
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0003_sentence02,normal,llm,todo,11
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0003_sentence02,normal,manual,todo,11
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0003_sentence03,normal,llm,todo,12
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0003_sentence03,normal,manual,todo,12
00689983-0ff3-4bfe-a770-ee22e1a01095,essay0003_sentence04,normal,llm,todo,13
