session_id,unit_id,phase,task,status,ordering
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence01,active,manual,todo,0
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence01,normal,llm,todo,0
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence01,normal,manual,todo,0
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence02,active,manual,todo,1
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence02,normal,llm,todo,1
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence02,normal,manual,todo,1
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence03,active,manual,todo,2
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence03,normal,llm,todo,2
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence03,normal,manual,todo,2
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence04,active,manual,todo,3
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence04,normal,llm,todo,3
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence04,normal,manual,todo,3
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence05,active,manual,todo,4
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence05,normal,llm,todo,4
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence05,normal,manual,todo,4
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence01,normal,llm,todo,5
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence01,normal,manual,todo,5
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence02,normal,llm,todo,6
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence02,normal,manual,todo,6
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence03,normal,llm,todo,7
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence03,normal,manual,todo,7
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence04,normal,llm,todo,8
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence04,normal,manual,todo,8
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence05,normal,llm,todo,9
060f71c9-769a-428b-8bba-d680044fccdd,essay0002_sentence05,normal,manual,todo,9
060f71c9-769a-428b-8bba-d680044fccdd,essay0003_sentence01,normal,llm,todo,10
060f71c9-769a-428b-8bba-d680044fccdd,essay0003_sentence01,normal,manual,todo,10
060f71c9-769a-428b-8bba-d680044fccdd,essay0003_sentence02,normal,llm,todo,11
060f71c9-769a-428b-8bba-d680044fccdd,essay0003_sentence02,normal,manual,todo,11
060f71c9-769a-428b-8bba-d680044fccdd,essay0003_sentence03,normal,llm,todo,12
